base|avaliacao|c1|c2|res_in
Mayo|Judments|C0311394|C0231685|6.69
Mayo|Judments|C0035450|C0034079|2.38
Mayo|Judments|C0409162|C0333286|1
Mayo|Judments|C0011849|C0032584|1
Mayo|Judments|C0020541|C0027962|1
Mayo|Judments|C0018802|C0020541|1.69
Mayo|Judments|C0085649|C0034063|3.92
Mayo|Judments|C0022650|C0041956|4.69
Mayo|Judments|C0004604|C0037944|5.31
Mayo|Judments|C1956089|C0018862|4
Mayo|Judments|C0003873|C0035450|7.08
Mayo|Judments|C0009871|C1444657|1
Mayo|Judments|C0020971|C0021051|2.15
Mayo|Judments|C0026848|C0011633|4.46
Mayo|Judments|C0013404|C0231835|4.08
Mayo|Judments|C0034065|C0019079|2.77
Mayo|Judments|C0029408|C0221434|2.85
Mayo|Judments|C0231736|C0231749|3.77
Mayo|Judments|C0332536|C0024796|2.08
Mayo|Judments|C0458343|C0016053|3.54
Mayo|Judments|C0457086|C0003873|5.69
Mayo|Judments|C0038454|C0018989|5
Mayo|Judments|C0006121|C1269897|4.23
Mayo|Judments|C0011167|C0031133|4.38
Mayo|Judments|C0429103|C0027051|5.23
Mayo|Judments|C1510420|C0041296|4.08
Mayo|Judments|C0003243|C0443146|5.23
Mayo|Judments|C0034735|C0022116|4.85
Mayo|Judments|C0032285|C0332448|4.85
Mayo|Judments|C0020877|C0010346|6.85
Mayo|Judments|C0030472|C1306459|5.31
Mayo|Judments|C0011991|C0009319|5.54
Mayo|Judments|C0013395|C0030920|5.23
Mayo|Judments|C0009676|C0011253|6.08
Mayo|Judments|C0018524|C0033975|6
Mayo|Judments|C0038362|C0149745|6.85
Mayo|Judments|C0034065|C0032285|3.23
Mayo|Judments|C0003873|C0003904|3.77
Mayo|Judments|C1533685|C1253936|3.31
Mayo|Judments|C0042164|C0019740|2.23
Mayo|Judments|C0042384|C0040053|3
Mayo|Judments|C0243026|C0020649|1.69
Mayo|Judments|C0042109|C0277942|5.31
Mayo|Judments|C0017196|C0162429|4.31
Mayo|Judments|C0013604|C0017654|2.38
Mayo|Judments|C0009378|C0032584|5.46
Mayo|Judments|C0010137|C1563292|2.85
Mayo|Judments|C0024530|C0002438|3.15
Mayo|Judments|C0442874|C0522224|2.85
Mayo|Judments|C0036572|C0018681|3.31
Mayo|Judments|C0333997|C0043352|1
Mayo|Judments|C0036202|C0042866|1.46
Mayo|Judments|C0023223|C0042345|3.92
Mayo|Judments|C0080331|C0432601|4.38
Mayo|Judments|C0030326|C0023798|3.15
Mayo|Judments|C0003811|C0026264|3.31
Mayo|Judments|C0013378|C0011167|1.92
Mayo|Judments|C0013394|C0029965|2.31
Mayo|Judments|C0030842|C0020517|3
Mayo|Judments|C0023418|C0038250|5.08
Mayo|Judments|C0376358|C0001109|1.69
Mayo|Judments|C0224498|C0029408|2.62
Mayo|Judments|C0037473|C0024485|1
Mayo|Judments|C0033706|C0039142|1.77
Mayo|Judments|C0011849|C0035450|1
Mayo|Judments|C0220982|C0409974|1.23
Mayo|Judments|C0040583|C0007102|1
Mayo|Judments|C0037199|C0442041|2.85
Mayo|Judments|C0267809|C0376180|1
Mayo|Judments|C0034887|C0023055|1
Mayo|Judments|C0162595|C0702166|1.08
Mayo|Judments|C0005587|C0232208|1
Mayo|Judments|C0026269|C0030920|1
Mayo|Judments|C0037926|C0886052|1
Mayo|Judments|C0158280|C0023891|1
Mayo|Judments|C0241910|C0022876|1
Mayo|Judments|C0149925|C0011860|1
Mayo|Judments|C0018926|C0043352|1.54
Mayo|Judments|C0010043|C0011127|2
Mayo|Judments|C0013404|C0231528|1
Mayo|Judments|C0262538|C0040479|1.08
Mayo|Judments|C0034069|C0003615|1
Mayo|Judments|C0041834|C0029456|1.54
